hmdb_id	name	pubchem_id	kegg_id	exactmass	formula	inchi_key	super_class	main_class	sub_class	synonym
HMDB05395	TG(18:0/18:0/18:1(9Z))[iso3]	16058371	C00422	NA	NA	NA	NA	NA	NA	TG(18:0/18:0/18:1(9Z))[iso3]; TG(18:0/18:0/18:1)[iso3]; TG 18:0/18:0/18:1 [iso3]; 1-Stearoyl-2-stearoyl-3-oleoyl-glycerol; TAG(18:0/18:0/18:1); TAG(18:0/18:0/18:1n9); TAG(18:0/18:0/18:1w9); TAG(54:1); TG(18:0/18:0/18:1); TG(18:0/18:0/18:1n9); TG(18:0/18:0/18:1w9); TG(54:1); Tracylglycerol(18:0/18:0/18:1); Tracylglycerol(18:0/18:0/18:1n9); Tracylglycerol(18:0/18:0/18:1w9); Tracylglycerol(54:1); Triacylglycerol; Triglyceride
HMDB05396	TG(18:0/18:0/20:1(11Z))[iso3]	9544351	C00422	NA	NA	NA	NA	NA	NA	TG(18:0/18:0/20:1(11Z))[iso3]; TG(18:0/18:0/20:1)[iso3]; TG 18:0/18:0/20:1 [iso3]; 1-Stearoyl-2-stearoyl-3-eicosenoyl-glycerol; TAG(18:0/18:0/20:1); TAG(18:0/18:0/20:1n9); TAG(18:0/18:0/20:1w9); TAG(56:1); TG(18:0/18:0/20:1); TG(18:0/18:0/20:1n9); TG(18:0/18:0/20:1w9); TG(56:1); Tracylglycerol(18:0/18:0/20:1); Tracylglycerol(18:0/18:0/20:1n9); Tracylglycerol(18:0/18:0/20:1w9); Tracylglycerol(56:1); Triacylglycerol; Triglyceride
HMDB05398	TG(18:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso3]	9544519	C00422	NA	NA	NA	NA	NA	NA	TG(18:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso3]; TG(18:0/18:0/20:4)[iso3]; TG 18:0/18:0/20:4 [iso3]; 1-Stearoyl-2-stearoyl-3-arachidonoyl-glycerol; TAG(18:0/18:0/20:4); TAG(18:0/18:0/20:4n6); TAG(18:0/18:0/20:4w6); TAG(56:4); TG(18:0/18:0/20:4); TG(18:0/18:0/20:4n6); TG(18:0/18:0/20:4w6); TG(56:4); Tracylglycerol(18:0/18:0/20:4); Tracylglycerol(18:0/18:0/20:4n6); Tracylglycerol(18:0/18:0/20:4w6); Tracylglycerol(56:4); Triacylglycerol; Triglyceride
HMDB05403	TG(18:0/18:1(9Z)/18:1(9Z))[iso3]	16058372	C00422	NA	NA	NA	NA	NA	NA	TG(18:0/18:1(9Z)/18:1(9Z))[iso3]; TG(18:0/18:1/18:1)[iso3]; TG 18:0/18:1/18:1 [iso3]; 1-Stearoyl-2-oleoyl-3-oleoyl-glycerol; TAG(18:0/18:1/18:1); TAG(18:0/18:1n9/18:1n9); TAG(18:0/18:1w9/18:1w9); TAG(54:2); TG(18:0/18:1/18:1); TG(18:0/18:1n9/18:1n9); TG(18:0/18:1w9/18:1w9); TG(54:2); Tracylglycerol(18:0/18:1/18:1); Tracylglycerol(18:0/18:1n9/18:1n9); Tracylglycerol(18:0/18:1w9/18:1w9); Tracylglycerol(54:2); Triacylglycerol; Triglyceride
HMDB05404	TG(18:0/18:1(9Z)/20:1(11Z))[iso6]	25240375	C00422	NA	NA	NA	NA	NA	NA	TG(18:0/18:1(9Z)/20:1(11Z))[iso6]; TG(18:0/18:1/20:1)[iso6]; TG 18:0/18:1/20:1 [iso6]; 1-Stearoyl-2-oleoyl-3-eicosenoyl-glycerol; TAG(18:0/18:1/20:1); TAG(18:0/18:1n9/20:1n9); TAG(18:0/18:1w9/20:1w9); TAG(56:2); TG(18:0/18:1/20:1); TG(18:0/18:1n9/20:1n9); TG(18:0/18:1w9/20:1w9); TG(56:2); Tracylglycerol(18:0/18:1/20:1); Tracylglycerol(18:0/18:1n9/20:1n9); Tracylglycerol(18:0/18:1w9/20:1w9); Tracylglycerol(56:2); Triacylglycerol; Triglyceride
HMDB05405	TG(18:0/18:1(9Z)/18:2(9Z,12Z))[iso6]	9544216	C00422	NA	NA	NA	NA	NA	NA	TG(18:0/18:1(9Z)/18:2(9Z,12Z))[iso6]; TG(18:0/18:1/18:2)[iso6]; TG 18:0/18:1/18:2 [iso6]; 1-Stearoyl-2-oleoyl-3-linoleoyl-glycerol; TAG(18:0/18:1/18:2); TAG(18:0/18:1n9/18:2n6); TAG(18:0/18:1w9/18:2w6); TAG(54:3); TG(18:0/18:1/18:2); TG(18:0/18:1n9/18:2n6); TG(18:0/18:1w9/18:2w6); TG(54:3); Tracylglycerol(18:0/18:1/18:2); Tracylglycerol(18:0/18:1n9/18:2n6); Tracylglycerol(18:0/18:1w9/18:2w6); Tracylglycerol(54:3); Triacylglycerol; Triglyceride
HMDB05410	TG(18:0/18:2(9Z,12Z)/20:1(11Z))[iso6]	25240377	C00422	NA	NA	NA	NA	NA	NA	TG(18:0/18:2(9Z,12Z)/20:1(11Z))[iso6]; TG(18:0/18:2/20:1)[iso6]; TG 18:0/18:2/20:1 [iso6]; 1-Stearoyl-2-linoleoyl-3-eicosenoyl-glycerol; TAG(18:0/18:2/20:1); TAG(18:0/18:2n6/20:1n9); TAG(18:0/18:2w6/20:1w9); TAG(56:3); TG(18:0/18:2/20:1); TG(18:0/18:2n6/20:1n9); TG(18:0/18:2w6/20:1w9); TG(56:3); Tracylglycerol(18:0/18:2/20:1); Tracylglycerol(18:0/18:2n6/20:1n9); Tracylglycerol(18:0/18:2w6/20:1w9); Tracylglycerol(56:3); Triacylglycerol; Triglyceride
HMDB05432	TG(16:1(9Z)/16:1(9Z)/16:1(9Z))[iso]	9543989	NA	NA	NA	NA	NA	NA	NA	TG(16:1(9Z)/16:1(9Z)/16:1(9Z))[iso]; TG(16:1/16:1/16:1)[iso]; TG 16:1/16:1/16:1 [iso]; 1,2,3-Propanetriyl ester Hexadecenoate; 1,2,3-Propanetriyl ester Hexadecenoic acid; 1,2,3-Tri-(9Z-hexadecenoyl)-sn-glycerol; TG(16:1(9Z)/16:1(9Z)/16:1(9Z))
HMDB05433	TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3]	25240357	C00422	NA	NA	NA	NA	NA	NA	TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3]; TG(16:1/16:1/18:1)[iso3]; TG 16:1/16:1/18:1 [iso3]; 1-Palmitoleoyl-2-palmitoleoyl-3-oleoyl-glycerol; TAG(16:1/16:1/18:1); TAG(16:1n7/16:1n7/18:1n9); TAG(16:1w7/16:1w7/18:1w9); TAG(50:3); TG(16:1/16:1/18:1); TG(16:1n7/16:1n7/18:1n9); TG(16:1w7/16:1w7/18:1w9); TG(50:3); Tracylglycerol(16:1/16:1/18:1); Tracylglycerol(16:1n7/16:1n7/18:1n9); Tracylglycerol(16:1w7/16:1w7/18:1w9); Tracylglycerol(50:3); Triacylglycerol; Triglyceride
HMDB05435	TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3]	25240359	C00422	NA	NA	NA	NA	NA	NA	TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3]; TG(16:1/16:1/18:2)[iso3]; TG 16:1/16:1/18:2 [iso3]; 1-Palmitoleoyl-2-palmitoleoyl-3-linoleoyl-glycerol; TAG(16:1/16:1/18:2); TAG(16:1n7/16:1n7/18:2n6); TAG(16:1w7/16:1w7/18:2w6); TAG(50:4); TG(16:1/16:1/18:2); TG(16:1n7/16:1n7/18:2n6); TG(16:1w7/16:1w7/18:2w6); TG(50:4); Tracylglycerol(16:1/16:1/18:2); Tracylglycerol(16:1n7/16:1n7/18:2n6); Tracylglycerol(16:1w7/16:1w7/18:2w6); Tracylglycerol(50:4); Triacylglycerol; Triglyceride
